OBJECTID,Location
18219989,207 CLARK ST
18220165,30 RICE LN
18220191,10B BOYS & GIRLS CLUB WAY
18220192,5 HAMPDEN ST
18220196,96 POCASSET AVE
18220246,8B BOYS & GIRLS CLUB WAY
18220253,9 IMPERIAL RD
18220254,98 POCASSET AVE
18220274,237 ST. NICHOLAS AVE
18220280,26 POCASSET AVE
18220365,238 ST. NICHOLAS AVE
18220397,234 ST. NICHOLAS AVE
18220487,91 NEW BOND ST
18220507,243 ST. NICHOLAS AVE
18220527,13 TRINITY AVE
18220541,124A PILGRIM AVE
18220548,354 WILDWOOD AVE
18220559,370 GRAFTON ST
18220618,45 NANITA ST
18220621,62 BOSTON AVE
18220658,453 LINCOLN ST
18220666,3 LORING ST
18220675,98 WEST BOYLSTON ST
18220703,54 STOCKTON ST
18220742,455A LINCOLN ST
18220753,11 EK CT
18220780,40 PLEASANT ST
18220781,14 FRONT ST
18220782,20 FRONT ST
18220783,38 FRONT ST
18220791,9 PALFREY ST
18220792,27 GUILFORD ST
18220793,52 DARROW ST
18220794,50 DARROW ST
18220799,1001 SOUTHBRIDGE ST
18220800,1017 SOUTHBRIDGE ST
18220845,130 INGLESIDE AVE
18220862,90 GROVE ST
18220867,97 GATES ST
18220874,36 ELM ST
18220885,86 HARRISON ST
18220906,15 KELLEY SQ
18220916,30 OREAD ST
18220932,237 CAMBRIDGE ST
18220974,145 CAMBRIDGE ST
18220978,139 CAMBRIDGE ST
18220984,297 CAMBRIDGE ST
18220987,3 OCKWAY ST
18220988,205 CAMBRIDGE ST
18220995,67 TEMPLE ST
18221001,182 PRESCOTT ST
18221004,2 WHITEHAVEN LN
18221008,31B GLEN ST
18221012,52B BEDFORD AVE
18221030,33 CAMP ST
18221048,1486 MAIN ST
18221069,95 COUNTRY CLUB BLVD
18221085,212 DEWEY ST
18221109,80 GOLDTHWAITE RD
18221120,7 HOLT AVE
18221137,20 PEARL ST
18221143,32 WILSON ST
18221152,61 FREMONT ST
18221155,102 GROVE ST
18221161,848 MAIN ST
18221178,146 PROVIDENCE ST
18221187,156 GODDARD MEMORIAL DR
18221189,586-596 MAIN ST
18221190,87 TEMPLE ST
18221193,37 CANTERBURY ST
18221194,60 MADISON ST
18221195,105 WATER ST
18221203,373 SOUTHWEST CUTOFF
18221205,70 WINTER ST
18221222,7A EK CT
18221239,187 WASHINGTON ST
18221249,52A BEDFORD AVE
18221252,7 WINSLOW ST
18221257,20C HOUGHTON ST
18221259,22 CORNING AVE
18221261,32A PINE HILL RD
18221285,6 POCASSET ST
18221291,2 SHANNON ST
18221293,6 MYRA LN
18221297,770 SALISBURY ST
18221300,74 COUNTRY CLUB BLVD
18221301,68 COUNTRY CLUB BLVD
18221311,660 LINCOLN ST
18221317,19 WINSLOW ST
18221324,273 SHREWSBURY ST
18221335,279-281 LINCOLN ST
18221337,133 DEWEY ST
18221340,142 GREEN ST
18221349,15 RIPLEY ST
18221351,149 HIGHLAND ST
18221366,52 COUNTRY CLUB BLVD
18221390,242 CANTERBURY ST
18221402,103 EASTERN AVE
18221403,101 EASTERN AVE
18221404,99 EASTERN AVE
18221412,49 BENEFIT ST
18221419,664 FRANKLIN ST
18221424,16 BRIGHAM RD
18221474,4 HUNNEWELL RD
18221504,3 PICKWICK'S CIR
18221511,6A WELDON AVE
18221512,6C WELDON AVE
18221513,6B WELDON AVE
18221541,45 CASTINE ST
18221546,49 SANTORO RD
18221767,78 IDALLA RD
18221821,36 ST. NICHOLAS AVE
18221864,50 ST. NICHOLAS AVE
18221894,93 WOODLAND ST
18221927,113 BROOKS ST
18221965,9 FAY ST
18221970,60 WILBUR ST
18221971,9 SHAMROCK ST
18221975,2 BELCOURT RD
18221985,46B REED ST
18221986,30B PINE HILL RD
18221991,49 ST. NICHOLAS AVE
18222008,1 STANLEY RD
18222022,16C KINGSBURY ST
18222023,16B KINGSBURY ST
18222028,39 SHELBY ST
18222033,137 LOVELL ST
18222036,11 MINK'S CIR
18222043,17C KENNEBEC ST
18222047,177 SUNDERLAND RD
18222048,2 QUINCY ST
18222054,5 UXBRIDGE ST
18222056,30A PINE HILL RD
18222063,38 VINTON ST
18222065,7 MINK'S CIR
18222072,18 WILBUR ST
18222084,2 SHERMAN ST
18222093,34 WOODFORD ST
18222098,16 DORRANCE ST
18222103,14A KENNEBEC ST
18222104,21 TYSON RD
18222115,6 KENNEBEC ST
18222121,3A WILBUR ST
18222122,34-36 DIXFIELD ST
18222123,10 EUSTIS ST
18222128,2 LIVERMORE ST
18222133,731 BURNCOAT ST
18222146,17A KENNEBEC ST
18222150,6 EUSTIS ST
18222162,44 FRONT ST
18222163,22 ELM ST
18222164,300-306 MAIN ST
18222165,242 MAIN ST
18222170,11 PALFREY ST
18222180,41 FREMONT ST
18222183,112R GROVE ST
18222185,356C FRANKLIN ST
18222195,42 MOUNT AVE
18222209,105 BROOKS ST
18222217,54 ST. NICHOLAS AVE
18222222,109 BROOKS ST
18222232,61 ST. NICHOLAS AVE
18222248,570 MAIN ST
18222249,75-75 A-75 1/2 TEMPLE ST
18222253,5A CORRINE ST
18222277,5 MINK'S CIR
18222290,1127 WEST BOYLSTON ST
18222323,70 ST. NICHOLAS AVE
18222420,11B EUSTIS ST
18222441,27 DIXFIELD ST
18222442,1104 WEST BOYLSTON ST
18222444,16 EUSTIS ST
18222450,1110-1110 B WEST BOYLSTON ST
18222480,37 DIXFIELD ST
18222489,13A-13BEUSTIS ST
18222494,15A-15BEUSTIS ST
18222545,10 CASTINE ST
18222577,19 ST. NICHOLAS AVE
18222579,22 ST. NICHOLAS AVE
18222590,1A IDALLA AVE
18222627,15 CLIVEDEN ST
18222750,89 IDALLA RD
18222770,663A BURNCOAT ST
18222815,55 ST. NICHOLAS AVE
18222849,101 MALDEN ST
18222875,1B IDALLA AVE
18222881,1017 WEST BOYLSTON ST
18222925,616 WEST BOYLSTON ST
18222932,995 WEST BOYLSTON ST
18222938,27 LADYBANK RD
18222950,22 LADYBANK RD
18223016,74 ST. NICHOLAS AVE
18223046,17 RADCLIFFE ST
18223053,109 WATER ST
18223059,685 MAIN ST
18223065,511 PLEASANT ST
18223066,651 CHANDLER ST
18223069,189 WASHINGTON ST
18223106,85 ST. NICHOLAS AVE
18223108,40 QUINAPOXET LN
18223121,668 BURNCOAT ST
18223128,26 MOUNTAINSHIRE DR
18223139,80 ST. NICHOLAS AVE
18223196,82-82 BMALDEN ST
18223249,89 WEST BOYLSTON ST
18223253,9 LIBERTY ST
18223261,17 ARTHUR ST
18223265,16A KINGSBURY ST
18223273,1 LADYBANK RD
