,Style,Model,Grade,Stories,Occupancy,Exterior_Wall1,Exterior_Wall2,Roof_Structure,Roof_Cover,Interior_Wall1,Interior_Wall2,Interior_Flr1,Interior_Flr2,Heat_Fuel,Heat_Type,AC_Type,Total_Bedrooms,Total_Full_Bthrms,Total_Half_Baths,Total_Xtra_Fixtrs,Total_Rooms,Bathrm_Style,Kitchen_Style,Base_Area,Cndtn,Fdtn_Type,Bsmt_Type,Total_Kitchens,Fireplaces,Half_Bath_Grade,FndtnCndtn,Basement,PID,Location,Image,Year_Built,Living_Area,Replacement_Cost,Building_percent_Good,Less_Depreciation,Grade,Roof_Structure,Interior_Floor1,Interior_Floor2,Ext_Qual,Int_Qual,Struct_Class,Bldg_Use,Bath_Grade,Elevator,Sprinkler,1st_Floor_Use,Heat_AC,Frame_Type,Baths_Plumbing,Ceiling_Wall,Rooms_Prtns,Wall_Height,percent_Comn_Wall,Interior_Wall1,Interior_Wall2,Heat_Sys,Ttl_Bedrms,Ttl_Bathrms,Ttl_Half_Bths,Xtra_Fixtres,Bath_Style,Kitchen_Style,Kitchen_Type,Kitchen_Func,Primary_Bldg_Use,Pct_Com_Int,Atypical,Park_Type,Park_Own,Park_Tandem,FIREPLACES,Floor_Number,Base_Flr_Pm,End_Unit,Attic_Fin_Pct,Bsmt_Fin_Pct,Special_Feature,Kitchen_Grade,Residential_Units,Exterior_Wall1,Exterior_Wall2,Cmrcl_Units,ResCom_Units,Section_num,Parking_Spaces,Section_Style,Foundation,Security,Condo_Appeal,Remod_Ext,Super,Grade2,acctnum
0,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56304,0 AIRPORT DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\09\81.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00001
1,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51981,0 ALDRICH PL,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\01\19\03-20A-00039.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00002
2,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56307,0 AIRPORT DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\09\86.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00003
3,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57015,0 AIRPORT DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//default.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00004
4,Ranch,Single Family,Average,1,1,Wood Shingle,,Gable,Asphalt,Dry Wall,,Carpet,,,Water Fh,None,3 Bedrooms,1,0,0,5,,,960,960,Concrete,Full,,,,,,23500,1 /2 KEEN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\03\62\28-029-05+9A.jpg,1969,960,"$259,227 ",74,"$191,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00005
5,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56312,0 AIRPORT DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\09\88.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00007
6,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56310,0 AIRPORT DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\09\92.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00015
7,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55836,0 ARARAT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\06\77.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-00016
8,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57253,0 BANCROFT TOWER RD,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\00\47\66.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-0008A
9,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55804,0 BANNISER ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\09\36\75.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-009-0008B
