,image_number,human_1,human_2,human_3,Year_Built,class
0,10,3,2,3,1986.0,3
1,624,3,3,1,1890.0,1
2,958,2,1,2,1900.0,1
3,1033,2,2,3,1950.0,2
4,1136,3,1,1,1900.0,1
5,1147,3,3,2,1920.0,1
6,3271,3,2,3,1890.0,1
7,4477,2,2,3,1900.0,1
8,4602,3,2,2,1910.0,1
9,5192,3,2,1,1898.0,1
10,5233,3,2,2,1900.0,1
11,5286,3,1,3,1870.0,1
12,6674,3,3,2,1956.0,2
13,7397,4,2,1,1964.0,2
14,7510,3,3,1,1890.0,1
15,8025,3,3,2,1943.0,2
16,8963,3,2,2,1874.0,1
17,10903,2,1,1,1916.0,1
18,11041,2,3,3,1918.0,1
19,11315,3,1,1,1878.0,1
20,11471,3,1,1,1902.0,1
21,12144,3,2,3,1936.0,1
22,12161,4,2,2,1925.0,1
23,12193,3,2,2,1930.0,1
24,12213,3,3,1,1930.0,1
25,12385,3,2,3,1985.0,3
26,14009,3,3,3,1940.0,2
27,14211,2,2,3,2005.0,4
28,14542,3,2,3,2005.0,4
29,14802,3,2,1,1890.0,1
30,15485,2,3,4,1920.0,1
31,15948,3,3,3,1890.0,1
32,16622,3,3,3,1987.0,3
33,18535,3,1,3,1927.0,1
34,18630,3,2,3,1957.0,2
35,18918,3,3,2,1913.0,1
36,19062,3,1,3,1937.0,1
37,19359,3,4,3,1930.0,1
38,19381,3,2,2,1915.0,1
39,19813,2,3,2,1920.0,1
40,20059,2,1,2,1914.0,1
41,20167,3,3,1,1905.0,1
42,20999,2,2,3,1923.0,1
43,21331,2,3,2,1921.0,1
44,22987,2,2,2,1956.0,2
45,23395,3,2,3,1905.0,1
46,24369,4,2,4,2007.0,4
47,24511,3,3,3,1985.0,3
48,24586,3,2,2,1947.0,2
49,24690,3,3,3,1948.0,2
50,24712,2,3,2,1922.0,1
51,25328,3,4,4,2007.0,4
52,25341,4,2,4,1986.0,3
53,25442,3,3,4,1988.0,3
54,25874,4,2,2,1938.0,1
55,25899,4,3,3,1987.0,3
56,26101,4,2,3,2004.0,4
57,26880,3,2,2,1950.0,2
58,27911,3,2,1,1910.0,1
59,29285,2,4,4,1987.0,3
60,29788,3,1,3,1958.0,2
61,29952,2,2,3,1964.0,2
62,30117,3,2,1,1890.0,1
63,30844,4,1,2,1960.0,2
64,31423,3,3,3,1964.0,2
65,31888,2,2,3,1923.0,1
66,32072,2,2,2,1943.0,2
67,32377,3,2,3,1929.0,1
68,32657,3,3,3,1993.0,4
69,32684,4,2,4,1988.0,3
70,33659,4,3,2,1956.0,2
71,34194,3,3,3,1912.0,1
72,34334,3,2,2,1939.0,1
73,35094,3,3,3,1994.0,4
74,35332,3,2,1,1900.0,1
75,35787,3,2,3,1986.0,3
76,36050,3,2,3,1990.0,4
77,36051,3,2,3,1990.0,4
78,36798,2,1,3,1918.0,1
79,36908,3,4,4,1985.0,3
80,38037,2,2,1,1923.0,1
81,38096,2,2,2,1988.0,3
82,38121,3,2,2,1989.0,3
83,38751,2,4,3,1995.0,4
84,38884,3,2,2,1950.0,2
85,39356,3,2,2,1940.0,2
86,39630,3,2,4,1927.0,1
87,39665,3,2,2,1961.0,2
88,39906,3,1,2,1949.0,2
89,40053,4,3,4,1968.0,2
90,40494,3,2,4,2014.0,4
91,40783,3,3,2,1941.0,2
92,41305,2,4,3,2001.0,4
93,42254,3,3,4,2002.0,4
94,51194,3,3,3,1920.0,1
95,52247,2,1,4,1910.0,1
96,52718,4,2,4,2009.0,4
97,53601,3,3,3,1950.0,2
98,56247,3,1,3,1960.0,2
99,57578,3,1,2,2017.0,4
